question,answer,category
Skaap - Skape,(ne)nku - dinku,Animals
Luis - Luise,(ne)Nta - Dinta,Animals
Vlieg - Vliee,(ne)Ntshi - Dintsi,Animals
Praat,Boa,Verb
Stomp,Boboi,Adjective
Brein,Boboko,Human Body
Vloer - Vloere,Bodilo - Madilo,Household
Skerp,Bogale,Adjective
Pap,bogoba - magoba,"Household, Food"
Drank - Dranke,Bojalo - Majalo,"Household, Food"
Gras - Grasse,Bojang - Majang,Nature
Sag,Boleto,Adjective
Sien,Bona,Senses
Het Gesien,Bone,Senses
Hulle,Bone,People
Aand,Bosigo,Time
Slim,Bothlale,Adjective
Seer,Botloka,Adjective
Meel - Klomp Meel,Boupi - Maupe,Household
Broer,Brotha,People
Bagasie,Dihoto,Household
Gorilla,Duduko - Didukuko,Animals
Sit,Dula,"Verb,Movement,verb"
Dreun,Duma,Nature
Staan,Ema,"Movement,Verb"
Een,Engwe,Counting
Vlief,Fofa,Verb
Afklim,Fologa,"Movement,Verb"
Om te bou,go aga,"Verb,Business"
Om te eet,go jja,Verb
Om te leef,go pela,"Verb, Abstract"
Om lief te he,Go Rata,"Verb, Feelings"
Om lief gehe te word,Go Ratwa,"Verb, Feelings"
Om te koop,Go Reka,Verb
Skree,Goa,Verb
Hoor,Hutla,Verb
Het Gehoor,Hutlile,Verb
Tier/Cheetah,Ingwe - Dingwe,Animals
Albei,Ka Bobedi,People
Ernstig Aanrand,Kataka,"Movement,Verb"
Kat,Katse - Dikatse,Animals
Ek Wil,Ke batla,Verb
Hoe laat is dit?,Ke nako mang?,Time
Ek Sal,Ke Tla,Verb
Hoender,Kgogo - Dikgogo,Animals
Bees,Kgomo - Dikgomo,Animals
Vol Wees,Kgora,"Verb, Abstract"
Genoeg geeet,Kgorile,"Verb, Adjective"
Ingang,Kgoro,Household
Skilpad,Khudu - Dikhudu,Animals
Aanmeld,Klagisa,Verb
Aanrand,Kobeka,Verb
Kalm,Kokobela,Feelings
Vark,Kolobe - Dikolobe,Animals
Kontrak,Kontraka,Business
Vrug,Kungwa / Maungwa,Nature
Dinsdag,La bobedi,Time
Donderdag,La bone,Time
Woensdag,La boraro,Time
Vrydag,La bothlano,Time
Saterdag,Labarataro,Time
agter na sit/ haal jou in,Latela,Verb
Lek,Latswa,"Movement,Verb"
Melk,Lebese,Food
Aarde,Lefatse,Nature
Donker,Lefifi,"Nature, Adjective"
Jaloesie,Lefufa,"Verb,Abstract"
Maag - Mae,Legodu - Magodu,Human Body
Tand,Leino - Maeino,Human Body
Oog - Oe,Leithlo - Mathlo,Human Body
Skouer,Lekgetla - Makgetla,Human Body
Witmens - Witmense,Lekgoa - Makgoa,People
Hout - Houte,Lekgong - Dikgong,Nature
Long,Lekwafo - Makwafo,Human Body
Brief - Briewe,Lekwalo - Dikwalo,Business
Tong,Lelemo - Malemo,Human Body
Deur - Deure,Lemati - Dibati,Household
Nael,Lenale - Manale,Human Body
