Dom,Sepoka,Abstract
Verstaan,Thaloga,Abstract
Waar,Kae,Abstract
Hier,Mona,Abstract
Alle Dinge,Ntle,Abstract
Stomp,Boboi,Adjective
Skerp,Bogale,Adjective
Sag,Boleto,Adjective
Slim,Bothlale,Adjective
Seer,Botloka,Adjective
Mooi (Ding),Ntle,Adjective
Mooi (Mens),Montle,Adjective
Lelik,Mashwe,Adjective
Skaap - Skape,(ne)nku - dinku,Animals
Luis - Luise,(ne)Nta - Dinta,Animals
Vlieg - Vliee,(ne)Ntshi - Dintsi,Animals
Gorilla,Duduko - Didukuko,Animals
Tier/Cheetah,Ingwe - Dingwe,Animals
Kat,Katse - Dikatse,Animals
Hoender,Kgogo - Dikgogo,Animals
Bees,Kgomo - Dikgomo,Animals
Skilpad,Khudu - Dikhudu,Animals
Vark,Kolobe - Dikolobe,Animals
Haas,Mmutla  - Dimutla,Animals
Stert - Sterte,Mogatla - Megatla,Animals
Haan,Mokoko - Dikoko,Animals
Vers/Kalf,Moroba - Meroba,Animals
Hen,Moroba - Meroba,Animals
Uil,Morubisi - Merubisi,Animals
Slang,Noga - Dinoga,Animals
Voel,Nonjane - Dinojane,Animals
Hond,Ntja - Dintja,Animals
Muis,Peba - Dipeba,Animals
Wolf,Phiri - Dipiri,Animals
Jakkals,Phokojwe - Diphokojwe,Animals
Perd,Pitsi - Dipitsi,Animals
Duif,Poi - DiPoi,Animals
Bul,Poo - Dipoo,Animals
Bok,Pudi - Dipudi,Animals
Wurm - Wurms,Seboko - Diboko,Animals
Spook,Sedimo - Didimo,Animals
Spinnekop,Sekokgo - Dikokgo,Animals
Leeu,Tau - Ditau,Animals
Vis,Tlhapi - Ditlhapi,Animals
Olifant,Tlou - Ditlou,Animals
Donkie,Tonki - Ditonki,Animals
Springbok,Tsepe - Ditsepe,Animals
Springhaas,Tshipo - Ditshipo,Animals
Mier,Tshotswane - Ditshotswane,Animals
Bobejaan,Tshwene - Ditshwene,Animals
Kontrak,Kontraka,Business
Brief - Briewe,Lekwalo - Dikwalo,Business
Skoen,Tlhako,Clothing
Kous,Kouso,Clothing
Broek,Borokgo,Clothing
Hemp,Hempe,Clothing
Onderbroek,Apao tsa mogare,Clothing
Klere,Diaparo,Clothing
Trui,Jerse,Clothing
Groen,Tala,Colours
Geel/Vaal,Setla,Colours
Bruin,Borokwa,Colours
Rooi,Mohibidu,Colours
Swart,Ntsu,Colours
Wit,Tshwea,Colours
Een,Engwe,Counting
Tien,Lesome,Counting
Vier,Nne,Counting
Twee,Pedi,Counting
Agt,Robedi,Counting
